Rank,Ticker,Company,Country,Bucket,Role,AlphaScore,RiskAdjScore,Hiddenness,Notes,CombinedScore
1,ASMPT,ASMPT,Hong Kong,Hidden,Die bonders / assembly equipment,9,8,9,AMICRA sub-micron bonding for CPO assembly.,8.65
2,6890.T,Ferrotec,Japan,Hidden,Micro-TECs / thermal control,9,8,9,Cooling bottleneck for laser stability.,8.65
3,VECO,Veeco,USA,Hidden,MOCVD / epitaxy tools,9,8,8,InP laser growth tools; hidden equipment winner.,8.45
4,TSEM,Tower Semiconductor,Israel,Core,Foundry / photonics manufacturing,9,9,6,Key upstream foundry exposure.,8.4
5,LPKF,LPKF,Germany,Hidden,Glass via drilling / TGV tools,9,7,9,Glass substrate bottleneck and TGV process lever.,8.3
6,ASE,ASE Technology,Taiwan,Core,OSAT / packaging,8,9,7,Key packaging/assembly node.,8.15
7,INNO,InnoLight,China,Core,Optical modules,9,7,8,Major transceiver scale beneficiary.,8.1
8,EOPT,Eoptolink,China,Core,Optical modules,9,7,8,Data center optical module leader.,8.1
9,FURX,Furukawa Electric,Japan,Hidden,Cables / lasers / optical components,8,8,8,Remote laser source / FITEL activity.,8.0
10,SMHN,SUSS MicroTec,Germany,Hidden,Advanced packaging equipment,8,8,8,Hybrid bonding / advanced backend exposure.,8.0
11,3587.TW,MA-tek,Taiwan,Hidden,Metrology / inspection,8,8,8,Testing / process control leverage.,8.0
12,6941.T,Yamaichi,Japan,Hidden,Test sockets / connectors,8,7,9,Socket bottleneck for high-speed optical test.,7.85
13,SOI,Soitec,France,Core,Substrates / engineered wafers,8,8,7,Important wafer/material bottleneck.,7.8
14,5801.T,Furukawa Electric,Japan,Hidden,Cables / lasers / optical components,8,8,7,Restructuring could unlock photonics value.,7.8
15,JCET,JCET,China,Core,OSAT / packaging,8,8,7,Packaging and assembly leverage.,7.8
16,FURXF,Furukawa Electric ADR,Japan,Hidden,Cables / optics,8,8,7,US-accessible foreign exposure.,7.8
